procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1  10272 1544364 204700 8445224    0    0    59    95   49   64 23 11 66  0  0
 0  0  10272 1542592 204708 8446876    0    0     0     4  388  957  1  0 99  0  0
 0  0  10272 1542592 204708 8446720    0    0     0     0  355  942  1  1 98  0  0
 2  0  10272 1543632 204708 8445420    0    0     0   660  339  924  1  1 99  0  0
 0  0  10272 1543576 204708 8445184    0    0     0     0  648 3667  3  1 96  0  0
 0  0  10272 1544096 204708 8445188    0    0     0     0  284  820  1  1 99  0  0
 0  0  10272 1543820 204716 8445208    0    0     0    52  406  978  2  1 98  0  0
 1  0  10272 1543828 204716 8445208    0    0     0     0  322  776  1  1 98  0  0
 1  0  10272 1543828 204716 8445208    0    0     0     0  309  898  1  1 98  0  0
 0  0  10272 1543576 204716 8445184    0    0     0     0  226  715  1  1 98  0  0
 0  0  10272 1544568 204748 8445184    0    0     0   284  342  891  1  2 97  0  0
